AZ,04,001,00025441,Apache County,H1,A
AZ,04,003,00025442,Cochise County,H1,A
AZ,04,005,00025443,Coconino County,H1,A
AZ,04,007,00040471,Gila County,H1,A
AZ,04,009,00025444,Graham County,H1,A
AZ,04,011,00042807,Greenlee County,H1,A
AZ,04,012,00043540,La Paz County,H1,A
AZ,04,013,00037026,Maricopa County,H1,A
AZ,04,015,00025445,Mohave County,H1,A
AZ,04,017,00042808,Navajo County,H1,A
AZ,04,019,00025446,Pima County,H1,A
AZ,04,021,00025447,Pinal County,H1,A
AZ,04,023,00040472,Santa Cruz County,H1,A
AZ,04,025,00042809,Yavapai County,H1,A
AZ,04,027,00023901,Yuma County,H1,A
